序号,记录类型,参数/函数,基础键,字面量,Key/Hash,Key 构造模式,参数签名,值类型,作用域维度,Config 可设,Limited 可设,写入入口,版本状态,来源
1,常量,LIQUIDATION_GRACE_PERIOD_BASE,LIQUIDATION_GRACE_PERIOD_BASE,LIQUIDATION_GRACE_PERIOD_BASE,0x9c99490aed4e1fcee2199fa23e105d0d413f924b423098f7e44621028a171c29,raw,,uint,market,否,否,DataStore 直写(CONTROLLER),沿用/见变更表,FX100Keys.sol / Config.sol / registry-v0.3.2.json
2,常量,LIQUIDATION_GRACE_PERIOD_TIER_MULTIPLIER,LIQUIDATION_GRACE_PERIOD_TIER_MULTIPLIER,LIQUIDATION_GRACE_PERIOD_TIER_MULTIPLIER,0x8eeef43d987e2c0a3d6339604c0ab8bfa3c2af31603989bb4e1076f9d83345be,raw,,uint,graceTier,否,否,DataStore 直写(CONTROLLER),沿用/见变更表,FX100Keys.sol / Config.sol / registry-v0.3.2.json
3,常量,EXECUTION_FEE_SUBSIDIZE,EXECUTION_FEE_SUBSIDIZE,EXECUTION_FEE_SUBSIDIZE,0x3171fa590fb72d3f72ca1ec568184ba2c4ffab697bd1c0cebdc99eab50bfde50,raw,,uint,market,否,否,DataStore 直写(CONTROLLER),沿用/见变更表,FX100Keys.sol / Config.sol / registry-v0.3.2.json
4,常量,EXECUTION_FEE_SUBSIDIZE_SIZE,EXECUTION_FEE_SUBSIDIZE_SIZE,EXECUTION_FEE_SUBSIDIZE_SIZE,0x8e21a49554caf5318a5f6de65b0dae92a2e22495335e586c2b43a7e2e8323598,raw,,uint,market,否,否,DataStore 直写(CONTROLLER),沿用/见变更表,FX100Keys.sol / Config.sol / registry-v0.3.2.json
5,常量,POSITION_IMPACT_FACTOR,POSITION_IMPACT_FACTOR,POSITION_IMPACT_FACTOR,0xdbe66c23ce3688bc34131316a8b4dd967631de35afb1dbb972bc1b7c71c4a18b,abiEncode,,,market + bool,是,否,Config(CONFIG_KEEPER),沿用/见变更表,FX100Keys.sol / Config.sol / registry-v0.3.2.json
6,常量,POSITION_IMPACT_EXPONENT_FACTOR,POSITION_IMPACT_EXPONENT_FACTOR,POSITION_IMPACT_EXPONENT_FACTOR,0xdd130ae153fcacdeb3063e386277de2d305638932d8de421f5c79f3919eea233,abiEncode,,,market + bool,是,否,Config(CONFIG_KEEPER),沿用/见变更表,FX100Keys.sol / Config.sol / registry-v0.3.2.json
7,常量,MAX_POSITION_IMPACT_FACTOR,MAX_POSITION_IMPACT_FACTOR,MAX_POSITION_IMPACT_FACTOR,0x13be955c1220ee542749f9621d477d34649523d4273ecf1b722d67b372cca75f,abiEncode,,uint,market + bool,是,否,Config(CONFIG_KEEPER),沿用/见变更表,FX100Keys.sol / Config.sol / registry-v0.3.2.json
8,常量,MAX_POSITION_IMPACT_FACTOR_FOR_LIQUIDATIONS,MAX_POSITION_IMPACT_FACTOR_FOR_LIQUIDATIONS,MAX_POSITION_IMPACT_FACTOR_FOR_LIQUIDATIONS,0x60c6f7a6820f7b274465f97450f5ba86cedd20f28f1cd3690510968ab87a0f8c,abiEncode,,uint,market,是,否,Config(CONFIG_KEEPER),沿用/见变更表,FX100Keys.sol / Config.sol / registry-v0.3.2.json
9,常量,POSITION_FEE_FACTOR,POSITION_FEE_FACTOR,POSITION_FEE_FACTOR,0x3999256650a6ebfea3dfbd4d56990f4d9048943a0e38ea6aabfc65122556c342,abiEncode,,uint,market + bool,是,否,Config(CONFIG_KEEPER),沿用/见变更表,FX100Keys.sol / Config.sol / registry-v0.3.2.json
10,常量,CONSTANT_PRICE_SPREAD,CONSTANT_PRICE_SPREAD,CONSTANT_PRICE_SPREAD,0xb891481ec38a71ff33c4b447f343b55e59795716812a3f30cffb3b9449d691b8,abiEncode,,uint,market,否,否,DataStore 直写(CONTROLLER),沿用/见变更表,FX100Keys.sol / Config.sol / registry-v0.3.2.json
