module,base,argLabel,status,value,readable,type,typeConfidence,settableVia,group,key,note
功能开关,CANCEL_DEPOSIT_FEATURE_DISABLED,module=AdlHandler,未设置(命名推断),false,,bool,命名推断,Config(CONFIG_KEEPER),derived,0xc9bfa9ad9e4e558dcda57b3340387ca2b299ce36ddad1cac383f274b249f5281,
功能开关,CANCEL_DEPOSIT_FEATURE_DISABLED,module=AutoCancelSyncer,未设置(命名推断),false,,bool,命名推断,Config(CONFIG_KEEPER),derived,0x42a18735f384235da8f98d960d8655bb8b784c9e656353c8aaa724d9db38fad9,
功能开关,CANCEL_DEPOSIT_FEATURE_DISABLED,module=Config,未设置(命名推断),false,,bool,命名推断,Config(CONFIG_KEEPER),derived,0x32096b356df5aae4ce1b90e0136c7330c9bd03a30e1e34b6e6ca537b5aed4464,
功能开关,CANCEL_DEPOSIT_FEATURE_DISABLED,module=ConfigSyncer,未设置(命名推断),false,,bool,命名推断,Config(CONFIG_KEEPER),derived,0xb021c31e6d57cbee91af9f115c62113fdd0bb434ae5ba37d0f261a0a8abb8c9d,
功能开关,CANCEL_DEPOSIT_FEATURE_DISABLED,module=DecreaseOrderExecutor,未设置(命名推断),false,,bool,命名推断,Config(CONFIG_KEEPER),derived,0x93bfb1d55c191a03ba3b618778abe10c8d5126f91036322c977d8ded27def0aa,
功能开关,CANCEL_DEPOSIT_FEATURE_DISABLED,module=ExchangeRouter,未设置(命名推断),false,,bool,命名推断,Config(CONFIG_KEEPER),derived,0xd00edfce7f618d41f9dd205ee1fcd16e305c2d56a5b76877d687b5b24a5c05a0,
功能开关,CANCEL_DEPOSIT_FEATURE_DISABLED,module=ExternalHandler,未设置(命名推断),false,,bool,命名推断,Config(CONFIG_KEEPER),derived,0x518d70f7061fda267b62f2350e5cc2f67de985c18f3c6ead2cfd8f449975916f,
功能开关,CANCEL_DEPOSIT_FEATURE_DISABLED,module=FeeHandler,未设置(命名推断),false,,bool,命名推断,Config(CONFIG_KEEPER),derived,0xdcdaf5fb3c1f646e0399a1c9c24d97cc989d96c253a4e4270930203e94e906cb,
功能开关,CANCEL_DEPOSIT_FEATURE_DISABLED,module=IncreaseOrderExecutor,未设置(命名推断),false,,bool,命名推断,Config(CONFIG_KEEPER),derived,0xedf9dd21fe8d7ecb0f69206eab054e41c87b61b4baf98909b64e050c20c5becc,
功能开关,CANCEL_DEPOSIT_FEATURE_DISABLED,module=LiquidationHandler,未设置(命名推断),false,,bool,命名推断,Config(CONFIG_KEEPER),derived,0x37c9c10de064a3ec4356a5392a320eb188f10053b1f3315f812bf72077844102,
