序号,分组,基础键,维度/实例,类型,链上值,DataStore Key,Key 构造,类型来源,快照区块
1,market-prop,MARKET_INDEX,marketIndex=market#1 · BTC/UNKNOWN,uint,1,0x8f06d4777d644b773e5ff512d28fc7016fbd722bdb5d02c57cfdbe65b90b0b71,"_efficientHash(bytes32(marketIndex), SUBKEY)",registry,46282993
2,market-prop,VAULT,marketIndex=market#1 · BTC/UNKNOWN,address,0x46fb4f1eebf811a59dcf6e6343ac5be36122dde8,0xf07b374179aac87b194c175354b4367f5b85b8ea320106b646a2ca1dd2da423a,"_efficientHash(bytes32(marketIndex), SUBKEY)",registry,46282993
3,market-prop,INDEX_TOKEN,marketIndex=market#1 · BTC/UNKNOWN,address,0x0555e30da8f98308edb960aa94c0db47230d2b9c,0x4f89517b5d5eb157e1a680200b63ca1a2cdbfd297fe23023096ffd45abbecb1d,"_efficientHash(bytes32(marketIndex), SUBKEY)",registry,46282993
4,market-prop,MARKET_INDEX,marketIndex=market#2 · WETH/UNKNOWN,uint,2,0xa565cfc012356d9dc2802c425454c6a46dc7a13718614ac99a67b65983d473b8,"_efficientHash(bytes32(marketIndex), SUBKEY)",registry,46282993
5,market-prop,VAULT,marketIndex=market#2 · WETH/UNKNOWN,address,0x46fb4f1eebf811a59dcf6e6343ac5be36122dde8,0x899162fe52097f8c1084a80f0a4632ef4bebffee175dc47a14cabef2ecdf704c,"_efficientHash(bytes32(marketIndex), SUBKEY)",registry,46282993
6,market-prop,INDEX_TOKEN,marketIndex=market#2 · WETH/UNKNOWN,address,0x4200000000000000000000000000000000000006,0x3ee1b38f1913fdbe66db4c43f073ccaab3119018d2a53bae9f395983d4d14633,"_efficientHash(bytes32(marketIndex), SUBKEY)",registry,46282993
7,global,MAX_PRICE_IMPACT_SPREAD,,uint,5000000000000000,0x9f71064f4d31ede08ea2e305fbbe1b3f4c903416fe7defe9f2b7ebdbb257c70f,"keccak256(abi.encode(""NAME""))",source-scan,46282993
8,set-root,MARKET_LIST,uintCount,uintCount,2,0xcdac201abd09598973b1365dbbaeb65ff0f370d30bb5c7440dc3341f570b2e38,"keccak256(abi.encode(""NAME""))",set-count,46282993
9,global,COLLATERAL_TOKEN,,address,0xf300bbfb89106f54794aab6f7554ecfdaf32e154,0xd890cedaab800f07f6432ac38d67dd1adbee92bfb56f145ca33f99455f6398b4,"keccak256(abi.encode(""NAME""))",source-scan,46282993
10,global,MAX_PNL_FACTOR_FOR_ADL,,uint,750000000000000000000000000000,0x95024a223e128da6224cc271671896642c5acb9ebf2f0432e71fcd87205177cf,"keccak256(abi.encode(""NAME""))",source-scan,46282993
11,global,MIN_PNL_FACTOR_AFTER_ADL,,uint,500000000000000000000000000000,0x87d8ac296048efc64f5a826815f8d178cd3e6c3d6f367340cc963df0aca137c6,"keccak256(abi.encode(""NAME""))",source-scan,46282993
12,global,MAX_PNL_FACTOR_FOR_WITHDRAWALS,,uint,650000000000000000000000000000,0xdd8747ceca84c84319e46661e0ee4095cc511df8c2208b6ff4e9d2b2e6930bb6,"keccak256(abi.encode(""NAME""))",source-scan,46282993
13,global,FEE_RECEIVER,,address,0x48473691c59750ee8d1fa45cbad29f08d38092ac,0x27b063950f8f840ec54a6c89264fe84c340d2e36c5461ab6fdfb822573067108,"keccak256(abi.encode(""NAME""))",source-scan,46282993
14,global,MAX_AUTO_CANCEL_ORDERS,,uint,64,0xef2fbe4143b9a96a7ea63d505c1a2113ad28c3698479c1a47d0f3bb2317476ec,"keccak256(abi.encode(""NAME""))",source-scan,46282993
15,global,MAX_TOTAL_CALLBACK_GAS_LIMIT_FOR_AUTO_CANCEL_ORDERS,,uint,2000000,0xcd2f7ab10b6b4b1c3d84f3930c725280715c9c6fe1d9a80fe152b989578a3b90,"keccak256(abi.encode(""NAME""))",source-scan,46282993
16,global,MAX_ORACLE_PRICE_AGE,,uint,60,0x2498be75403c532695a52aa481268f4d166a68f0d7468b5a879e2beb6ec70062,"keccak256(abi.encode(""NAME""))",source-scan,46282993
17,global,MAX_RECORDED_PRICE_AGE,,uint,86400,0xc83c444bcd119490846c686c27f08afe01d79d379620a40281e02eb5c02f4eb1,"keccak256(abi.encode(""NAME""))",source-scan,46282993
18,global,MAX_ORACLE_TIMESTAMP_RANGE,,uint,60,0xfd601530e028bbf3f82445e9cbecc952c0949c975b6e8b5b7faa42fad1df678a,"keccak256(abi.encode(""NAME""))",source-scan,46282993
19,global,MAX_ORACLE_REF_PRICE_DEVIATION_FACTOR,,uint,20000000000000000000000000000,0x6ae871e17942129cc618ad90203e946883c7e6680e1ce7610c677123c024a4f1,"keccak256(abi.encode(""NAME""))",source-scan,46282993
20,global,CHAINLINK_PAYMENT_TOKEN,,address,0xe4ab69c077896252fafbd49efd26b5d171a32410,0x03f726650f8538e1919c3c9b108cb96f42556acb1f879309ce67536879722687,"keccak256(abi.encode(""NAME""))",source-scan,46282993
